Spare Part No.,List Price In US Dollars
UF.2100-1114CP,$ -
TVL.5007,$24.00
TVL.4510-9853,$ -
TVL.4420-1991,$66.00
TVL.4300-9853,$104.00
TVL.4300-1991,$66.00
TVL.4300-1988,$ -
TVL.4300-1987,$8.00
TVL.4300-1980,$ -
TVL.2700-9852,$ -
TVH.TRM.RINGCP,$ -
TVH.TRM.RINGBN,$ -
TVH.E399,$140.00
TVH.E184-3482,$1.00
TVH.5030,$40.00
TVH.5026,$50.00
TVH.5007,$24.00
TVH.5006,$32.00
TVH.4511-Display-Dummy,$ -
TVH.4420-1991,$66.00
TVH.4371-9853,$66.00
TVH.4301-1991,$66.00
TVH.4201SB--Display-Dummy,$ -
TVH.4201PN--Display-Dummy,$ -
TVH.4201MB--Display-Dummy,$ -
TVH.4201CP--Display-Dummy,$ -
TVH.4201BN--Display-Dummy,$ -
TVH.4201BB--Display-Dummy,$ -
TVH.4201-9853R,$175.00
TVH.4201-1987,$28.00
TVH.2691-Spout-Holder-Dummy-P0000000600,$ -
TVH.2691-0225,$ -
TVH.0678,$32.00
TVH.0152,$36.00
TRM.TVH.4511CP,$ -
TRM.TVH.4511CMB,$86.00
TRM.TVH.4511CCP,$86.00
TRM.TVH.4511BN,$ -
TRM.TVH.4511-260CSB,$90.00
TRM.TVH.4511-260CMB,$90.00
TRM.TVH.4500CMB,$280.00
TRM.TVH.4500CCP,$200.00
TRM.TVH.4420MB,$148.00
TRM.TVH.4201MB,$120.00
TRM.TVH.4201CP,$100.00
TRM.TVH.4201CMB,$120.00
TRM.TVH.4201BN,$120.00
TRM.TVH.4201-260CSB,$170.00
TRM.TVH.4201-260CCP,$150.00
TRM.TVH.4000V-196CSB,$200.00
TRM.TVH.4000V-196CMB,$180.00
TRM.TVH.4000RMB,$114.00
TRM.TVH.4000MB,$170.00
TRM.TVH.4000CP,$170.00
TRM.TVH.4000BN,$180.00
TRM.TVH.2693SB,$170.00
TRM.TVH.2693CP,$125.00
TRM.TVH.2693CBN,$170.00
TRM.TVH.2693-260CSB,$170.00
TRM.TVH.240.4511CP,$70.00
TRM.TVH.2222CP,$28.00
TRM.TVH.0222PN,$36.00
TRM.TVH.0222MB,$30.00
TRM.TVH.0222CP,$30.00
TRM.TVH.0212CP,$ -
TRM.TVH.0211SB,$37.00
TRM.TVH.0211PN,$33.00
TRM.TVH.0211MB,$33.00
TRM.TVH.0211CP,$34.00
TRM.TVH.0211CMB,$28.00
TRM.TVH.0211CCP,$24.00
TRM.TVH.0211CBN,$28.00
TRM.TVH.0211BN,$30.00
TRM.TVH.0211BB,$40.00
TRM.TVH.0068SB,$26.00
TRM.TVH.0068PN,$28.00
TRM.TVH.0068MB,$28.00
TRM.TVH.0068CP,$24.00
TRM.TVH.0068BN,$28.00
TRM.TVH.0068BB,$30.00
TRM.PBV.2750BN,$ -
TRM.PBV.2200SB,$180.00
TRM.PBV.2200MB,$170.00
TRM.PBV.2200BN,$180.00
TRM.PBV.2101BN,$ -
TRM.PBV.2100MB,$170.00
TRM.PBV.2100BN,$170.00
TRM.240.4420MB,$150.00
TRM.196.6410CP,$ -
TRM.196.6410BN,$66.00
TRM.160.6410PN,$86.00
TRM.160.6410MB,$102.00
TRM.160.6410CP,$86.00
TRM.100.6415CP,$ -
TRM.100.6410CP,$100.00
TO-28 2.0 P,$ -
TO-16 2.0,$ -
RP80778MB,$40.00
RP80609SB,$98.00
RP80609PN,$98.00
RP80609MB,$98.00
RP80609CP,$98.00
RP80609BN,$98.00
RP80008BN,$ -
RP70823,$50.00
RP70822,$28.00
RP70778,$28.00
RP70777,$18.00
RP70774,$22.00
RP70773,$28.00
RP70638,$22.00
RP70637,$18.00
RP64229,$1.00
RP64023,$6.00
RP60143,$1.00
RP60136,$1.00
RP56148,$24.00
RP50235,$4.00
RP30289 - 02.3205.00000,$27.00
RP30234,$6.00
RHW.3R-9857MB,$36.00
REUSE,$22.00
R1001-9853,$63.00
PBV1005AS-1987,$28.00
PBV1005A-SB-Display-Dummy,$ -
PBV1005A-PN-Display-Dummy,$ -
PBV1005A-MB-Display-Dummy,$ -
PBV1005A-CP-Display-Dummy,$ -
PBV1005A-BN-Display-Dummy,$ -
PBV1005A-BB-Display-Dummy,$ -
PBV1005A-9852,$28.00
PBV1005A-9400,$63.00
PBV1004A-SV2-3,$ -
PBV1004A-SV2-1,$ -
PBV1004A-P3,$ -
PBV1004A-P1,$ -
PBV1004A-9853,$ -
PBV1004A-1987,$ -
PBV.E185-1853,$48.00
PBV.E185-1850,$38.00
PBV.E137-2354,$18.00
P.1000-9853,$36.00
P.1000-2555,$12.00
P.1000-2554,$36.00
P.1000-2553SS,$55.00
OLD-TVL.E185CP,$ -
OLD-TVL.E185BN,$ -
OLD-TVL.E137CP,$ -
OLD-TVL.E137BN,$ -
OLD-PBV.E185CP,$ -
OLD-PBV.E185BN,$ -
OLD-PBV.E137CP,$ -
OLD-PBV.E137BN,$ -
OBSOLTE-PBV1005A-1991,$66.00
OBSOLETE-TVH.4201-9853,$104.00
OBSOLETE-PBV1005A-9853,$63.00
OBSOLETE-K.2000-2229SS,$88.00
OBSOLETE-196.1165-9853,$76.00
OBSOLETE-100.1170-9853,$76.00
OBSOLETE-001,$ -
OBSOLETE - 8025006-272 + BT-M6X18 (2),$ -
Obsolete - 196.1165-9202,$44.00
obsolete - 160.1800ECP,$ -
obsolete - 160.1800EBN,$ -
OBSOLETE - 100.TVH.SO-BCP,$86.00
obsolete - 100.1950ECP,$ -
obsolete - 100.1950EBN,$ -
obsolete - 100.1800ECP,$ -
obsolete - 100.1800EBN,$ -
obslete-TVH.EA07BN,$ -
obslete-TVH.E185CP,$ -
obslete-TVH.E137,$ -
MEM.2300N,$34.00
MEM.2300-O,$5.00
MEM.2300,$34.00
LZ-6.5,$ -
K.A100-1353,$18.00
K.2030-2229SS,$88.00
K.2030-2229PS,$88.00
K.2030-1991,$50.00
K.2030-1888SS,$20.00
K.2030-1888PS,$ -
K.1800-9851SS,$20.00
K.1800-9851MB,$20.00
K.1800-9851BG,$20.00
K.1800-2930,$40.00
K.1800-2929,$40.00
K.1800-2352SS,$60.00
K.1800-2352MB,$60.00
K.1800-2352BG,$60.00
K.1800-2312,$30.00
K.1800-2229SS,$88.00
K.1800-2229MB,$86.00
K.1800-2229BG,$88.00
K.1500-9852,$24.00
K.1500-9851SS,$36.00
K.1500-8750,$49.00
K.1500-2229SS,$153.00
K.1500-1383,$24.00
K.1500-1318SS,$48.00
K.1500-1313SS,$30.00
K.1390-2229SS,$123.00
K.1390-2229MB,$123.00
K.1390-2229BG,$123.00
K.1360-9851SS,$20.00
K.1360-9851MB,$20.00
K.1360-9851BG,$20.00
K.1360-2352SS,$86.00
K.1360-2352MB,$86.00
K.1360-2352BG,$86.00
K.1360-2229SS,$88.00
K.1360-2229MB,$86.00
K.1360-2229BG,$88.00
K.1360-1888SS,$24.00
K.1360-1888MB,$24.00
K.1360-1888BG,$24.00
K.1330-2352SS,$76.00
K.1330-2352MB,$86.00
K.1330-2231,$60.00
K.1330-2229SS,$86.00
K.1330-2229MB,$98.00
K.1330-1253,$12.00
K.1300-2352SS,$76.00
K.1300-2352PS,$ -
K.1300-2352MB,$84.00
K.1300-2229SS,$88.00
K.1300-2229PS,$88.00
K.1290-2229SS,$88.00
K.1290-2229PS,$88.00
K.1290-2229MB,$86.00
K.1290-2229BG,$88.00
K.1260-8751,$40.00
K.1260-8750,$63.00
K.1260-2353SS,$30.00
K.1260-2352SS,$53.00
K.1260-2229SS,$88.00
K.1260-1888SS,$14.00
K.1260-1888PS,$ -
K.1230-2364,$26.00
K.1230-2229SS,$88.00
K.1230-1888SS,$15.00
K.1200-Body-Assembly,$ -
K.1200-9852,$26.00
K.1200-9851SS,$36.00
K.1200-9851MB,$24.00
K.1200-8755,$20.00
K.1200-8751,$ -
K.1200-8750,$63.00
K.1200-8738,$30.00
K.1200-2581,$36.00
K.1200-2353SS,$28.00
K.1200-2352SS,$76.00
K.1200-2352PS,$ -
K.1200-2288MB,$89.00
K.1200-2230,$ -
K.1200-2229SS,$88.00
K.1200-2229PS,$88.00
K.1000-2229SS,$80.00
JQ-18x2,$ -
HS8008-9857SB,$30.00
HS8008-9857MB,$30.00
HS8008-9857CP,$27.00
HS8008-9857BN,$30.00
HS1290-5454CP,$ -
HS1280-5454CP,$120.00
HS1280-5454BN,$ -
HS1270-5454CP,$ -
HS1080-9857SB,$40.00
HS1080-9857PN,$40.00
HS1080-9857MB,$40.00
HS1080-9857CP,$40.00
HS1080-9857BN,$40.00
HS1070-9857SB,$34.00
HS1070-9857PN,$34.00
HS1070-9857MB,$34.00
HS1070-9857CP,$34.00
HS1070-9857BN,$34.00
HS1040-9857SB,$34.00
HS1040-9857PN,$34.00
HS1040-9857MB,$34.00
HS1040-9857CP,$34.00
HS1040-9857BN,$34.00
HS1030-9857SB,$34.00
HS1030-9857PN,$34.00
HS1030-9857MB,$34.00
HS1030-9857CP,$34.00
HS1030-9857BN,$34.00
HS1030-9856CP,$80.00
HS1030-1253CP,$ -
HS1030-1253BN,$ -
HS1020-1253CP,$ -
HS1020-1253BN,$ -
HS1009-1112,$18.00
HS1007-1113,$18.00
HS1007-1112,$14.00
HS1002SA-9857SB,$34.00
HS1002SA-9857PN,$34.00
HS1002SA-9857MB,$34.00
HS1002SA-9857CP,$34.00
HS1002SA-9857BN,$34.00
HS1002SA-1253CP,$ -
HS1002SA-1253BN,$ -
HS1001SA-1253CP,$ -
HS1001SA-1253BN,$ -
HEX.100.2300,$4.00
FLM.1170 - RP70824,$420.00
FEM.5506,$28.00
FEM.5505,$38.00
FEM.2300,$26.00
E1001-9853,$63.00
DS-M5X7-J,$ -
DKM.2420-9853,$79.00
DKM.2420-5006,$39.00
DEPRECATED-160.1900-18058,$34.00
DEPRECATED-160.1900-18057,$34.00
CTRR0095,$ -
CSS.20S-8738,$80.00
CSS.20S-8378,$58.00
CSS.20S-1410,$34.00
CSS.20S-0226,$6.00
CSS.15S-0227SB,$13.00
CSS.15S-0227MB,$13.00
CSS.15S-0227CP,$12.00
CSS.15S-0227BN,$13.00
CSS.15S-0227-80SB,$20.00
CSS.15S-0227-80MB,$20.00
CSS.15S-0227-80CP,$20.00
CSS.15S-0227-80BN,$20.00
CFB.2350-1410,$33.00
CFB.2300-3334,$5.00
CFB.2300-3333,$18.00
CFB.2300-2581,$16.00
CFB.2300-2353CP,$140.00
CFB.2300-2353BN,$140.00
CFB.2300-1409,$43.00
CFB.2250.9857CP,$120.00
CFB.2250-9858,$20.00
CFB.2250-9853,$180.00
CFB.2250-3333,$11.00
CFB.2250-2581,$120.00
CFB.2250-2366,$18.00
CFB.2250-2048CP,$220.00
CFB.2250-2048BN,$250.00
CFB.2250-1409,$24.00
CFB.2150-9857CP,$234.00
CFB.2150-9853CP,$222.00
CFB.2150-8742,$44.00
CFB.2150-1999,$4.00
CFB.2150-1411,$38.00
CFB.2150-0230,$100.00
CFB.2150-0227,$4.00
C1004-5458CP,$100.00
C1001-9853,$63.00
C1001-2352CP,$ -
C029002.00000ZZ,$2.00
BT-M3X10-P,$ -
ATBA3002,$76.00
ATBA0128,$ -
ATBA0127,$ -
8029039-452,$ -
8002048-122,$18.00
8002048-072SB,$42.00
8002048-072PN,$33.00
8002048-072MB,$33.00
8002048-072CP,$30.00
8002048-072BN,$36.00
8002048-062,$ -
8002048-045SB,$48.00
8002048-045PN,$44.00
8002048-045MB,$44.00
8002048-045CP,$45.00
8002048-045BN,$47.00
8002048-044,$48.00
8002048-042CP,$28.00
8002048-042BN,$28.00
8002006-504,$ -
8002001-354 + 8002001-362,$ -
8001015-123,$ -
6415.3058CP,$80.00
6415-3059,$23.00
6415-3058,$ -
6035029-382CP,$ -
6032029-383SB,$37.00
6032029-383PN,$33.00
6032029-383MB,$33.00
6032029-383CP,$33.00
6032029-383BN,$36.00
6031029-122,$ -
60.7000S-2352BN,$ -
60.1000-2352-BN,$ -
5x5 Acrylic,$ -
58.7086.1,$ -
5458-H,$ -
5458-C,$ -
270.2410-2364,$18.00
270.1950-2364,$16.00
2691.TRIM.SSB,$200.00
2691.8008RMB,$200.00
2691.8008RCP,$170.00
2691.8006SMB,$170.00
2691.8006SCP,$170.00
2691.2300RSB,$180.00
2691.2300RMB,$180.00
2691.2300RCP,$160.00
260.TVH.SOSB,$98.00
260.TVH.SOPN,$94.00
260.TVH.SOLSB,$86.00
260.TVH.RESB,$98.00
260.TVH.REPN,$94.00
260.TVH.REMB,$96.00
260.TVH.RECP,$90.00
260.TVH.REBN,$90.00
260.2410-5458PN,$330.00
260.2410-5458MB,$240.00
260.2410-5458CP,$240.00
260.2410-5458BN,$260.00
260.2410-2352SB,$86.00
260.2410-2352PN,$76.00
260.2410-2352MB,$79.00
260.2410-2352CP,$76.00
260.2410-2352BN,$76.00
260.2400-5458PN,$300.00
260.2400-5458MB,$300.00
260.2400-5458CP,$300.00
260.2001-2354,$22.00
260.2001-2353SB,$59.00
260.2001-2353MB,$62.00
260.2001-2353CP,$40.00
260.2001-2352HSB,$96.00
260.2001-2352HPN,$86.00
260.2001-2352CSB,$96.00
260.2001-2352CPN,$86.00
260.2000-5458SB,$300.00
260.2000-5458CP,$300.00
260.2000-5458BN,$300.00
260.1800-2353BN,$56.00
260.1800-2352MB,$86.00
260.1165-9852,$ -
260.1165-9851PN,$24.00
260.1165-9851MB,$24.00
260.1165-9851BN,$24.00
260.1165-2353PN,$155.00
260.1165-2352PN,$86.00
260.1165-2352MB,$86.00
260.1165-2352BN,$86.00
260.1165-2047PN,$30.00
260.1165-2047MB,$30.00
260.1165-2047BN,$30.00
260.1000-9853,$63.00
260.1000-9852,$ -
260.1000-9851PN,$ -
260.1000-9851MB,$24.00
260.1000-2352PN,$ -
260.1000-2352MB,$ -
260.1000-2352BN,$86.00
260.1000-2048SB,$22.00
260.1000-2048PN,$22.00
260.1000-2048MB,$26.00
260.1000-2048CP,$22.00
260.1000-2048BN,$22.00
260.1000-2048BB,$22.00
250.TVH.SOMB,$86.00
250.TVH.SOCP,$86.00
250.TVH.SOBN,$90.00
250.TVH.REMB,$86.00
250.TVH.RECP,$86.00
250.TVH.REBN,$86.00
250.2000-2352MB,$95.00
240.TVH.SOPN,$85.00
240.TVH.SOMB,$86.00
240.TVH.SOCP,$86.00
240.TVH.REPN,$85.00
240.TVH.REBN,$90.00
240.8005-1214,$24.00
240.601005A-1214,$18.00
240.2450-2364,$14.00
240.2410-3252CP,$96.00
240.2410-2354,$18.00
240.2410-2352PN,$86.00
240.2410-2352MB,$86.00
240.2410-2352CP,$86.00
240.2410-2352BN,$96.00
