Spare Part No.,List Price In US Dollars
240.2000-Faucet-Handle-Dummy,$ -
240.2000-2352PN,$86.00
240.2000-2352MB,$ -
240.2000-2352CP,$ -
240.2000-2352BN,$ -
240.1950-9851,$24.00
240.1950-2354,$12.00
240.1280-8738,$58.00
240.1170-9853,$68.00
240.1000-2930,$36.00
240.1000-2929,$36.00
240.1000-2352PN,$48.00
240.1000-2352MB,$52.00
240.1000-2352CP,$48.00
240.1000-2352BN,$48.00
230.TVH.RECP,$86.00
230.2000-Faucet-Handle-Dummy,$ -
230.2000-8739,$26.00
230.2000-2354,$18.00
230.2000-2353,$26.00
230.2000-2352SB,$96.00
230.1950-9855,$39.00
230.1950-9851,$28.00
230.1950-2354,$24.00
230.1000-9852,$38.00
230.1000-2581,$28.00
196.TVH.SOSB,$93.00
196.TVH.SOPN,$86.00
196.TVH.SOMB,$86.00
196.TVH.SOCP,$86.00
196.TVH.SOBN,$93.00
196.TVH.SO34MB,$54.00
196.TVH.SO34CP,$48.00
196.TVH.SO34BN,$70.00
196.TVH.RESB,$93.00
196.TVH.REPN,$92.00
196.TVH.REMB,$86.00
196.TVH.RECP,$86.00
196.TVH.REBN,$97.00
196.TVH.RE99MB,$86.00
196.TVH.RE99CP,$86.00
196.TVH.RE99BN,$86.00
196.4300-1114CP,$86.00
196.4300-1114BN,$86.00
196.2410-8740,$78.00
196.2410-5458MB,$290.00
196.2410-5458CP,$270.00
196.2410-5458BN,$270.00
196.2410-2364,$28.00
196.2410-2353SB,$76.00
196.2410-2353PN,$65.00
196.2410-2353MB,$65.00
196.2410-2353CP,$65.00
196.2410-2353BN,$78.00
196.2410-2352SB,$86.00
196.2410-2352PN,$80.00
196.2410-2352MB,$80.00
196.2410-2352CP,$80.00
196.2410-2352BN,$80.00
196.2200-1214CP,$ -
196.2200-1214BN,$ -
196.2100-1114SB,$60.00
196.2100-1114PN,$60.00
196.2100-1114MB,$60.00
196.2100-1114CP,$86.00
196.2100-1114BN,$60.00
196.2100-1111SB,$4.00
196.2100-1111PN,$44.00
196.2100-1111MB,$44.00
196.2100-1111CP,$44.00
196.2100-1111BN,$44.00
196.2000-Faucet-Handle-Dummy,$ -
196.2000-8741,$23.00
196.2000-8471,$ -
196.2000-8379,$ -
196.2000-8341,$14.00
196.2000-5458SB,$250.00
196.2000-2581,$22.00
196.1800-9855SB,$190.00
196.1800-9855CP,$160.00
196.1800-2353SB,$180.00
196.1800-2353MB,$183.00
196.1800-2353CP,$160.00
196.1800-2353BN,$180.00
196.1800-2352MB,$70.00
196.1800-2352CP,$70.00
196.1800-2352BN,$70.00
196.1800-0421CP,$44.00
196.1800-0420MB,$38.00
196.1800-0420CP,$40.00
196.1800-0420BN,$44.00
196.1800-0225,$ -
196.1280-5454BN,$120.00
196.1280-5400,$3.00
196.1165-8738 / RP70581,$80.00
196.1165-2364,$28.00
196.1165-2353PN,$160.00
196.1165-1991SB,$50.00
196.1165-1991PN,$50.00
196.1165-1991MB,$50.00
196.1165-1991CP,$50.00
196.1165-1991BN,$50.00
196.1165-1114SB,$86.00
196.1165-1114CP,$ -
196.1165-1114BN,$ -
196.1165-1111SB,$36.00
196.1165-1111CP,$ -
196.1165-1111BN,$ -
196.1000-9853,$63.00
196.1000-9851PN,$ -
196.1000-9851MB,$24.00
196.1000-2828,$1.00
196.1000-2581,$20.00
196.1000-2364,$16.00
196.1000-2352SB,$86.00
196.1000-2352PN,$86.00
196.1000-2352MB,$86.00
196.1000-2352CP,$86.00
196.1000-2352BN,$86.00
1800-Display-Dummy,$ -
180.4300-1114CP,$ -
180.4300-1114BN,$ -
180.2410-2352BN,$76.00
180.2100-1114CP,$86.00
180.2100-1114BN,$56.00
180.2100-1111CP,$24.00
180.2100-1111BN,$24.00
180.2000-5458CP,$300.00
180.1000-2352CP,$ -
180.1000-2352BN,$ -
18.0010.0.0010,$ -
16x5 Acrylic,$ -
160.TVH.SOMB,$86.00
160.TVH.SOCP,$76.00
160.TVH.SOBN,$80.00
160.TVH.REMB,$86.00
160.TVH.RECP,$90.00
160.TVH.REBN,$86.00
160.PBV.TMPPN,$85.00
160.PBV.TMPMB,$86.00
160.PBV.TMPCP,$86.00
160.PBV.TMPBN,$90.00
160.PBV.DIVPN,$46.00
160.PBV.DIVMB,$46.00
160.PBV.DIVCP,$45.00
160.PBV.DIVBN,$35.00
160.6410-9853MB,$159.00
160.6410-9853CP,$138.00
160.6410-9853BN,$138.00
160.6410-91411,$18.00
160.6410-91410,$85.00
160.6410-91409,$46.00
160.6402-9859CP,$140.00
160.601024A-1214,$20.00
160.601003A-1214,$10.00
160.601003A-1212,$2.00
160.5505-1856,$12.00
160.4511-3333,$8.00
160.4511-1214CP,$ -
160.4511-1214BN,$ -
160.4511-1212,$ -
160.2450-9855CP,$120.00
160.2450-9855BN,$140.00
160.2450-9854CP,$ -
160.2450-9854BN,$ -
160.2450-9851PN,$24.00
160.2450-9851MB,$24.00
160.2450-9851CP,$24.00
160.2450-9851BN,$24.00
160.2450-2553PN,$50.00
160.2450-2553MB,$50.00
160.2450-2553CP,$50.00
160.2450-2553BN,$50.00
160.2450-2352PN,$50.00
160.2450-2352MB,$50.00
160.2450-2352CP,$50.00
160.2450-2352BN,$50.00
160.2410-8738,$40.00
160.2410-5458MB,$250.00
160.2410-5458CP,$247.00
160.2410-5458BN,$260.00
160.2410-2364,$28.00
160.2410-2352PN,$86.00
160.2410-2352MB,$86.00
160.2410-2352CP,$76.00
160.2410-2352BN,$86.00
160.2410-0226,$4.00
160.2400-5458PN,$227.00
160.2400-5458MB,$227.00
160.2400-5458CP,$300.00
160.2400-5458BN,$300.00
160.2400-5457,$40.00
160.2400-5456,$45.00
160.2400-5455PN,$70.00
160.2400-5455MB,$80.00
160.2400-5455CP,$60.00
160.2400-5455BN,$70.00
160.2400-18001,$35.00
160.2400-18000,$35.00
160.2300-1212,$ -
160.2201-1214PN,$ -
160.2201-1214CP,$ -
160.2201-1214BN,$ -
160.2100-1991,$66.00
160.2003-8341,$8.00
160.2003-2353BN,$58.00
160.2003-2352BN,$90.00
160.2000-Stationary-Faucet-Handle-Dummy,$ -
160.2000-Faucet-Handle-Dummy,$ -
160.2000-8740,$42.00
160.2000-8738,$36.00
160.2000-5458MB,$227.00
160.2000-5458CP,$227.00
160.2000-5458BN,$227.00
160.2000-2581,$20.00
160.2000-2364,$28.00
160.2000-1999PN,$26.00
160.2000-1999MB,$ -
160.2000-1999CP,$26.00
160.2000-1999BN,$ -
160.2000-0226,$6.00
160.1900ECP,$ -
160.1900EBN,$ -
160.1900-5557,$ -
160.1900-5556,$ -
160.1900-5555BN,$ -
160.1800-9853,$ -
160.1800-9852,$28.00
160.1800-9851SB,$26.00
160.1800-9851PN,$24.00
160.1800-9851MB,$24.00
160.1800-9851CP,$24.00
160.1800-9851BN,$28.00
160.1800-2364,$28.00
160.1800-2353PN,$50.00
160.1800-2353MB,$50.00
160.1800-2353CP,$50.00
160.1800-2353BN,$50.00
160.1800-2352PN,$86.00
160.1800-2352MB,$86.00
160.1800-2352BN,$86.00
160.1800-1999PN,$ -
160.1800-0420PN,$53.00
160.1800-0420MB,$53.00
160.1800-0420CP,$53.00
160.1800-0420BN,$53.00
160.1500-2352PN,$ -
160.1500-2352MB,$ -
160.12CSA-9857SB,$34.00
160.12CSA-9857PN,$34.00
160.12CSA-9857MB,$34.00
160.12CSA-9857CP,$34.00
160.12CSA-9857BN,$34.00
160.1280-9851,$120.00
160.1168-9862,$12.00
160.1168-9861,$ -
160.1168-9860,$40.00
160.1168-9858,$8.00
160.1168-9852,$ -
160.1168-9851PN,$ -
160.1168-9851MB,$24.00
160.1168-9851CP,$24.00
160.1168-9205MB,$40.00
160.1168-9205CP,$60.00
160.1168-9203,$205.00
160.1168-9202,$32.00
160.1168-9201,$76.00
160.1168-2853PN,$72.00
160.1168-2853MB,$72.00
160.1168-2853CP,$72.00
160.1168-2853BN,$72.00
160.1168-2353MB,$200.00
160.1168-2353CP,$93.00
160.1168-2352PN,$ -
160.1168-2352MB,$86.00
160.1168-2352BN,$ -
160.1168-1999PN,$ -
160.1168-1999MB,$28.00
160.1168-1991MB,$50.00
160.1168-1991CP,$50.00
160.1168-1991BN,$50.00
160.1168-0277,$4.00
160.1168-0226,$4.00
160.1167-1991CP,$50.00
160.1167-1991BN,$50.00
160.1050-9853,$ -
160.1000-9853,$76.00
160.1000-9852,$ -
160.1000-9851PN,$ -
160.1000-9851MB,$24.00
160.1000-2581,$ -
160.1000-2352PN,$ -
160.1000-2352MB,$ -
160.1000-2352CP,$66.00
160.1000-2352BN,$ -
150.TVH.SOCP,$ -
150.TVH.RECP,$90.00
150.PBV.TMPCP,$85.00
150.2410-5458CP,$200.00
150.2410-2354,$18.00
150.2410-2352CP,$86.00
150.2400-5458CP,$300.00
150.2000-Faucet-Handle-Dummy,$ -
150.1800-0421CP,$44.00
150.1280-9852,$34.00
150.1165-2352CP,$ -
150.1000-2352CP,$ -
145.TVH.SOMB,$96.00
145.TVH.SOCP,$86.00
145.TVH.REMB,$98.00
145.PBV.TMPMB,$89.00
145.PBV.TMPCP,$85.00
145.2410-5458MB,$240.00
145.2410-5458CP,$230.00
145.2410-2354,$18.00
145.2410-2353CP,$42.00
145.2410-2352CP,$50.00
145.2400-5458CP,$240.00
145.2000-Faucet-Handle-Dummy,$ -
145.2000-5458CP,$230.00
145.2000-2929,$12.00
145.2000-2364,$28.00
145.1000-2352CP,$ -
12x6 Acrylic,$ -
11000236-11000035,$ -
110.1000-9853,$ -
1096107-053,$ -
1096011-062,$28.00
1096001-402 - Obsolete,$ -
1043039-552,$ -
1022024-542 + 1022024-242,$ -
1009024-574,$ -
1005024-552,$ -
1003024-552,$ -
1002024-553,$ -
100.TVH.SOSB,$86.00
100.TVH.SOMB,$86.00
100.TVH.SOCP,$86.00
100.TVH.SOBN,$86.00
100.TVH.RESB,$94.00
100.TVH.REMB,$86.00
100.TVH.RECP,$86.00
100.TVH.REBN,$86.00
100.PBV.TMPSB,$90.00
100.PBV.TMPMB,$86.00
100.PBV.TMPCP,$85.00
100.PBV.TMPBN,$85.00
100.PBV.DIVSB,$40.00
100.PBV.DIVMB,$40.00
100.PBV.DIVCP,$35.00
100.PBV.DIVBN,$35.00
100.601023A-1856,$12.00
100.601001A-1214,$18.00
100.601001A-1212,$ -
100.2450-0420MB,$64.00
100.2450-0420CP,$53.00
100.2450-0420BN,$53.00
100.2410-5458CP,$230.00
100.2410-5458BN,$260.00
100.2410-2354,$13.00
100.2410-2353SB,$45.00
100.2410-2353CP,$45.00
100.2410-2353BN,$45.00
100.2410-2352SB,$64.00
100.2410-2352MB,$46.00
100.2410-2352CP,$46.00
100.2410-2352BN,$46.00
100.2410-2352BB,$64.00
100.2400-5458MB,$300.00
100.2400-5458CP,$300.00
100.2300NCP,$ -
100.2300L-1818SB,$100.00
100.2300-9857SB,$46.00
100.2300-9857MB,$53.00
100.2300-9857CP,$40.00
100.2300-9857BN,$42.00
100.2300-9857BB,$56.00
100.2300-0227,$3.00
100.2000-Faucet-Handle-Dummy,$ -
100.2000-1999MB,$24.00
100.1950E-2668MB,$40.00
100.1950-2354,$18.00
100.1950-2353SB,$60.00
100.1950-2353MB,$40.00
100.1950-2353CP,$40.00
100.1950-2353BN,$40.00
100.1950-1999SB,$36.00
100.1950-1999MB,$24.00
100.1950-1999CP,$24.00
100.1950-1999BN,$24.00
100.1950-1952H,$ -
100.1950-1952C,$ -
100.1800E-2266SB,$40.00
100.1800-9852,$24.00
100.1800-9851SB,$24.00
100.1800-9851MB,$36.00
100.1800-9851BN,$36.00
100.1800-9851BB,$34.00
100.1800-2500GSB,$100.00
100.1800-2500GCP,$100.00
100.1800-2500GBN,$100.00
100.1800-2353SB,$34.00
100.1800-2353MB,$30.00
100.1800-2353CP,$30.00
100.1800-2353BN,$30.00
100.1800-2353BB,$34.00
100.1800-2352SB,$74.00
100.1800-2352CP,$ -
100.1800-2352BN,$74.00
100.1800-2352BB,$86.00
100.1800-0421SB,$44.00
100.1800-0421CP,$44.00
100.1800-0420SB,$53.00
100.1800-0420MB,$53.00
100.1800-0420CP,$53.00
100.1800-0420BN,$53.00
100.1800-0420BB,$48.00
100.1800-0419,$40.00
100.1409-9853,$ -
100.1409-0251,$ -
100.1409-0124BN,$ -
100.1405-2352CP,$ -
100.1405-2229CP,$88.00
100.1404-2364,$28.00
100.1403-2364,$28.00
100.1403-0124CP,$78.00
100.1403-0124BN,$ -
100.1402-2364,$28.00
100.12CSA-9857SB,$34.00
100.12CSA-9857PN,$34.00
100.12CSA-9857MB,$34.00
100.12CSA-9857CP,$34.00
100.12CSA-9857BN,$34.00
100.1170-9852,$24.00
100.1170-9851SB,$22.00
100.1170-2364,$28.00
100.1170-2353MB,$220.00
100.1170-2353CP,$180.00
100.1170-2352SB,$70.00
100.1170-2352BN,$100.00
100.1170-1992SB,$90.00
100.1170-1992PN,$90.00
100.1170-1992MB,$90.00
100.1170-1992CP,$90.00
100.1170-1992BN,$90.00
100.1170-1992BB,$90.00
100.1170-1991SB,$55.00
100.1170-1991PN,$50.00
100.1170-1991MB,$50.00
100.1170-1991CP,$50.00
100.1170-1991BN,$50.00
100.1170-1991BB,$55.00
100.1000-9853,$63.00
100.1000-8738,$38.00
100.1000-2581,$ -
100.1000-2352CP,$ -
100.1000-2352BN,$ -
100.1000-1999SB,$28.00
02.3295.00000,$27.00
[obsolete] TVH.4511-9853,$49.00
6021004,$ -
1300446,$ -
15200,$70.00
15109,$70.00
15103,$70.00
15100,$70.00
0.00E+00,$18.00